date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,shootout_winner,raw_margin_home,raw_margin_away,margin_home,margin_away,hfa,adj_margin_home,adj_margin_away,match_type,match_type_weight,tier_weight,home_win,away_win,home_confederation,away_confederation,grouped_date_id,unique_game_id
1980-02-17,Guinea-Bissau,Mali,2.0,4.0,Amílcar Cabral Cup,Banjul,Gambia,True,,-2.0,2.0,-2.0,2.0,0.0,-2.0,2.0,competitive,1.0,1.0,0.0,1.0,CAF,CAF,20,
1980-02-17,Morocco,Poland,1.0,0.0,Friendly,Marrakesh,Morocco,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,CAF,UEFA,20,
1980-02-18,Gambia,Senegal,0.0,1.0,Amílcar Cabral Cup,Banjul,Gambia,False,,-1.0,1.0,-1.0,1.0,0.5,-1.5,1.5,competitive,1.0,1.0,0.0,1.0,CAF,CAF,21,
1980-02-19,Fiji,New Zealand,1.0,1.0,Friendly,Suva,Fiji,False,,0.0,-0.0,0.0,-0.0,0.5,-0.5,0.5,friendly,0.25,1.0,0.5,0.5,OFC,OFC,22,
1980-02-21,Fiji,New Zealand,0.0,2.0,Friendly,Lautoka,Fiji,False,,-2.0,2.0,-2.0,2.0,0.5,-2.5,2.5,friendly,0.25,1.0,0.0,1.0,OFC,OFC,23,
1980-02-24,Vanuatu,Papua New Guinea,3.0,4.0,Oceania Nations Cup,Nouméa,New Caledonia,True,,-1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,competitive,1.0,1.5,0.0,1.0,OFC,OFC,24,
1980-02-24,New Caledonia,Australia,0.0,8.0,Oceania Nations Cup,Nouméa,New Caledonia,False,,-8.0,8.0,-8.0,8.0,0.5,-8.5,8.5,competitive,1.0,1.5,0.0,1.0,OFC,AFC,24,
1980-02-25,Fiji,Solomon Islands,3.0,1.0,Oceania Nations Cup,Nouméa,New Caledonia,True,,2.0,-2.0,2.0,-2.0,0.0,2.0,-2.0,competitive,1.0,1.5,1.0,0.0,OFC,OFC,25,
1980-02-25,Morocco,Senegal,3.0,2.0,Friendly,Casablanca,Morocco,False,,1.0,-1.0,1.0,-1.0,0.5,0.5,-0.5,friendly,0.25,1.0,1.0,0.0,CAF,CAF,25,
1980-02-25,New Zealand,Tahiti,1.0,3.0,Oceania Nations Cup,Nouméa,New Caledonia,True,,-2.0,2.0,-2.0,2.0,0.0,-2.0,2.0,competitive,1.0,1.5,0.0,1.0,OFC,OFC,25,
